date,piezometer_id,groundwater_level_m,cluster_id
2004-07-01,II/1271/1,97.26,1
2004-08-01,II/1271/1,97.01,1
2004-09-01,II/1271/1,96.86,1
2004-10-01,II/1271/1,96.83,1
2004-11-01,II/1271/1,96.92,1
2004-12-01,II/1271/1,97.1,1
2005-01-01,II/1271/1,97.28,1
2005-02-01,II/1271/1,97.39,1
2005-03-01,II/1271/1,97.49,1
2005-04-01,II/1271/1,97.61,1
2005-05-01,II/1271/1,97.69,1
2005-06-01,II/1271/1,97.62,1
2005-07-01,II/1271/1,97.32,1
2005-08-01,II/1271/1,97.11,1
2005-09-01,II/1271/1,96.88,1
2005-10-01,II/1271/1,96.76,1
2005-11-01,II/1271/1,96.79,1
2005-12-01,II/1271/1,96.91,1
2006-01-01,II/1271/1,97.16,1
2006-02-01,II/1271/1,97.27,1
2006-03-01,II/1271/1,97.39,1
2006-04-01,II/1271/1,97.55,1
2006-05-01,II/1271/1,97.59,1
2006-06-01,II/1271/1,97.47,1
2006-07-01,II/1271/1,97.08,1
2006-08-01,II/1271/1,97.1,1
2006-09-01,II/1271/1,97.17,1
2006-10-01,II/1271/1,97.18,1
2006-11-01,II/1271/1,97.25,1
2006-12-01,II/1271/1,97.31,1
2007-01-01,II/1271/1,97.39,1
2007-02-01,II/1271/1,97.59,1
2007-03-01,II/1271/1,97.74,1
2007-04-01,II/1271/1,97.81,1
2007-05-01,II/1271/1,97.73,1
2007-06-01,II/1271/1,97.55,1
2007-07-01,II/1271/1,97.49,1
2007-08-01,II/1271/1,97.45,1
2007-09-01,II/1271/1,97.43,1
2007-10-01,II/1271/1,97.42,1
2007-11-01,II/1271/1,97.44,1
2007-12-01,II/1271/1,97.47,1
2008-01-01,II/1271/1,97.52,1
2008-02-01,II/1271/1,97.67,1
2008-03-01,II/1271/1,97.73,1
2008-04-01,II/1271/1,97.77,1
2008-05-01,II/1271/1,97.72,1
2008-06-01,II/1271/1,97.47,1
2008-07-01,II/1271/1,97.2,1
2008-08-01,II/1271/1,97.04,1
2008-09-01,II/1271/1,97.02,1
2008-10-01,II/1271/1,97.03,1
2008-11-01,II/1271/1,97.17,1
2008-12-01,II/1271/1,97.26,1
2009-01-01,II/1271/1,97.29,1
