date,imgw_Zalesie,imgw_Trzemeszno,imgw_Pakość,imgw_Jaksice,imgw_Gębice
1986-01-01,86.8,30.4,45.6,55.5,44.2
1986-02-01,14.2,15.1,8.9,7.3,11.4
1986-03-01,17.6,23.8,22.1,22.1,18.2
1986-04-01,22.6,37.3,34.2,19.2,32.8
1986-05-01,83.8,61.4,45.1,39.9,74.1
1986-06-01,162.9,46.9,40.5,38.8,61.9
1986-07-01,73.6,65.2,55.8,56.5,76.0
1986-08-01,137.4,68.9,82.8,75.5,63.2
1986-09-01,14.1,33.9,38.1,30.4,39.5
1986-10-01,35.1,31.3,30.5,28.3,35.9
1986-11-01,16.7,25.2,27.5,23.1,23.9
1986-12-01,112.1,59.8,66.5,63.2,60.2
1987-01-01,84.7,26.4,36.5,36.0,36.3
1987-02-01,24.9,31.2,32.6,30.5,29.0
1987-03-01,67.3,15.3,15.5,11.1,11.5
1987-04-01,55.0,56.1,39.9,33.1,32.4
1987-05-01,167.4,25.5,25.1,24.1,16.1
1987-06-01,70.2,62.0,69.3,76.4,67.4
1987-07-01,68.1,105.6,136.2,150.5,114.8
1987-08-01,109.7,63.7,53.2,45.1,44.5
1987-09-01,94.0,97.3,89.0,85.4,66.0
1987-10-01,36.4,42.7,46.5,48.1,39.2
1987-11-01,83.5,83.1,82.5,65.1,87.3
1987-12-01,119.9,36.7,32.4,30.4,33.8
1988-01-01,19.3,39.1,45.6,45.0,32.7
1988-02-01,50.6,57.7,45.8,48.0,47.0
1988-03-01,61.5,31.5,34.9,37.6,35.5
1988-04-01,32.1,14.5,6.9,5.0,10.7
1988-05-01,62.6,11.7,21.3,18.0,34.3
1988-06-01,120.8,80.2,85.2,43.3,66.8
1988-07-01,85.6,82.1,118.1,89.7,103.8
1988-08-01,95.4,46.5,38.1,42.5,35.9
1988-09-01,67.0,59.2,48.4,44.1,55.9
1988-10-01,21.2,9.4,9.1,3.4,8.3
1988-11-01,90.0,49.5,51.8,48.7,41.1
1988-12-01,137.7,41.6,60.9,49.1,43.6
1989-01-01,28.1,11.0,13.1,13.4,12.3
1989-02-01,26.5,19.8,21.9,23.0,18.7
1989-03-01,35.6,10.2,28.7,15.1,14.8
1989-04-01,86.9,24.0,15.2,16.5,18.3
1989-05-01,147.5,14.6,12.6,5.6,11.0
1989-06-01,205.5,61.2,40.1,35.5,34.1
1989-07-01,155.5,24.9,36.9,25.3,21.5
1989-08-01,154.7,26.5,14.9,12.9,23.8
1989-09-01,70.6,22.7,5.7,6.8,16.3
1989-10-01,75.7,29.3,33.4,26.9,31.3
1989-11-01,73.4,29.7,25.3,16.1,21.7
1989-12-01,35.7,53.9,43.6,40.5,42.2
1990-01-01,35.6,12.2,13.2,13.3,14.1
1990-02-01,55.6,34.3,26.8,28.0,20.2
