piezometer;x_coord_2180;y_coord_2180;cluster;aquifer_group;pressure;sensitivity;exposure;DIPI
II/1271/1;441727.38;523964.38;1;Shallow unconfined aquifer;0.098;0.343;0.141;0.188
II/1272/1;406124.32;559613.68;1;Shallow unconfined aquifer;0.108;0.149;0.222;0.166
II/1273/1;457116.26;519137.51;1;Shallow unconfined aquifer;0.084;0.379;0.113;0.184
II/1274/1;437254.53;574337.27;1;Shallow unconfined aquifer;0.15;0.117;0.234;0.174
II/1274/2;437254.53;574337.27;1;Shallow unconfined aquifer;0.15;0.117;0.234;0.174
II/1276/1;426138.53;566934.73;1;Shallow unconfined aquifer;0.122;0.069;0.224;0.147
II/1285/1;430634.36;547647.79;1;Shallow unconfined aquifer;0.112;0.079;0.616;0.304
II/906/1;404107.06;583888.84;1;Shallow unconfined aquifer;0.234;0.466;0.095;0.248
II/908/1;412611.88;584622.32;1;Shallow unconfined aquifer;0.151;0.262;0.19;0.18
II/908/2;412611.88;584622.32;1;Shallow unconfined aquifer;0.151;0.262;0.19;0.18
II/521/1;438931.24;567321.02;2;Intermediate confined aquifer;0.121;0.097;0.262;0.171
II/527/1;415848.58;571151.14;2;Intermediate confined aquifer;0.294;0.244;0.651;0.422
II/1272/2;406406.45;559611.3;2;Intermediate confined aquifer;0.108;0.149;0.222;0.166
II/1275/1;425263.95;578231.85;2;Intermediate confined aquifer;0.158;0.18;0.136;0.156
II/797/1;429354.58;551206.87;3;Deep confined aquifer;0.228;0.069;0.756;0.392
II/1065/1;453545.57;543466.32;3;Deep confined aquifer;0.633;0.253;0.503;0.465
