group,window_months,event_id,start,end,duration_months,minimum_date,minimum_sgi,severity_signed,severity_deficit,mean_intensity,recovery_date,recovery_months,recovered
1,3,1,2015-12-01,2016-06-01,7,2016-04-01,-1.2851746201461214,-8.348851897665286,8.348851897665286,-1.192693128237898,2016-10-01,6,True
1,3,2,2019-08-01,2019-11-01,4,2019-11-01,-1.1835507634057238,-4.3905881187999904,4.3905881187999904,-1.0976470296999976,2020-11-01,12,True
1,3,3,2022-10-01,2022-10-01,1,2022-10-01,-1.0052722954183895,-1.0052722954183895,1.0052722954183895,-1.0052722954183895,2024-03-01,17,True
1,3,4,2022-12-01,2022-12-01,1,2022-12-01,-1.1154309146522687,-1.1154309146522687,1.1154309146522687,-1.1154309146522687,2024-03-01,15,True
1,3,5,2023-06-01,2023-12-01,7,2023-09-01,-1.3434816876706597,-8.667707117291954,8.667707117291954,-1.2382438738988506,2024-03-01,6,True
1,6,1,2016-03-01,2016-07-01,5,2016-05-01,-1.2736882207138187,-6.070688139315381,6.070688139315381,-1.2141376278630762,2017-01-01,8,True
1,6,2,2019-11-01,2020-02-01,4,2019-12-01,-1.0818030763962756,-4.211692195025538,4.211692195025538,-1.0529230487563845,2021-01-01,13,True
1,6,3,2020-06-01,2020-06-01,1,2020-06-01,-1.0279704063808364,-1.0279704063808364,1.0279704063808364,-1.0279704063808364,2021-01-01,7,True
1,6,4,2022-12-01,2022-12-01,1,2022-12-01,-1.00005698089006,-1.00005698089006,1.00005698089006,-1.00005698089006,2024-04-01,16,True
1,6,5,2023-03-01,2023-03-01,1,2023-03-01,-1.0320425540030251,-1.0320425540030251,1.0320425540030251,-1.0320425540030251,2024-04-01,13,True
1,6,6,2023-05-01,2023-12-01,8,2023-08-01,-1.2069056464755843,-8.874058987538014,8.874058987538014,-1.1092573734422517,2024-04-01,8,True
1,12,1,2016-05-01,2016-10-01,6,2016-07-01,-1.1441964813093757,-6.466732012959659,6.466732012959659,-1.0777886688266098,2017-05-01,10,True
1,12,2,2020-03-01,2020-07-01,5,2020-05-01,-1.1086363014303597,-5.347892068452826,5.347892068452826,-1.0695784136905653,2021-04-01,11,True
1,12,3,2023-06-01,2023-06-01,1,2023-06-01,-1.0057691595486886,-1.0057691595486886,1.0057691595486886,-1.0057691595486886,,,False
1,12,4,2023-08-01,2023-12-01,5,2023-10-01,-1.193899872343822,-5.610381816525029,5.610381816525029,-1.122076363305006,,,False
2,3,1,1992-09-01,1992-09-01,1,1992-09-01,-1.164655846179537,-1.164655846179537,1.164655846179537,-1.164655846179537,1992-12-01,3,True
2,3,2,1993-02-01,1993-03-01,2,1993-02-01,-1.122057587011365,-2.1780672776425787,2.1780672776425787,-1.0890336388212893,1993-07-01,5,True
2,3,3,2015-10-01,2016-07-01,10,2016-06-01,-1.8746453188049812,-15.183124308004308,15.183124308004308,-1.5183124308004308,2016-09-01,3,True
2,3,4,2019-05-01,2019-12-01,8,2019-10-01,-1.6819898047284871,-11.040235499406322,11.040235499406322,-1.3800294374257902,2020-09-01,11,True
2,3,5,2020-03-01,2020-06-01,4,2020-06-01,-1.2995068065951703,-4.878147974551261,4.878147974551261,-1.2195369936378153,2020-09-01,3,True
2,3,6,2021-12-01,2022-02-01,3,2022-01-01,-1.1897448139219344,-3.3440745444777074,3.3440745444777074,-1.1146915148259025,2024-01-01,24,True
2,3,7,2022-07-01,2023-02-01,8,2022-11-01,-1.5913274111292477,-10.862509827587978,10.862509827587978,-1.3578137284484972,2024-01-01,14,True
2,3,8,2023-07-01,2023-11-01,5,2023-10-01,-1.3956626984698282,-6.256812967967575,6.256812967967575,-1.2513625935935149,2024-01-01,3,True
2,6,1,1992-07-01,1992-09-01,3,1992-07-01,-1.030736648639127,-3.066840878979903,3.066840878979903,-1.022280292993301,1993-08-01,13,True
2,6,2,1993-02-01,1993-02-01,1,1993-02-01,-1.1166992570737175,-1.1166992570737175,1.1166992570737175,-1.1166992570737175,1993-08-01,6,True
2,6,3,1993-05-01,1993-06-01,2,1993-05-01,-1.0715508759109185,-2.0730324403691442,2.0730324403691442,-1.0365162201845721,1993-08-01,3,True
2,6,4,2015-12-01,2016-08-01,9,2016-06-01,-1.7200065886274056,-13.3848050487632,13.3848050487632,-1.487200560973689,2016-11-01,5,True
2,6,5,2019-07-01,2020-02-01,8,2019-11-01,-1.672120474462005,-10.709682664959686,10.709682664959686,-1.3387103331199608,2020-10-01,11,True
2,6,6,2020-04-01,2020-06-01,3,2020-06-01,-1.1565541616137933,-3.295674671773019,3.295674671773019,-1.0985582239243397,2020-10-01,4,True
2,6,7,2022-05-01,2022-05-01,1,2022-05-01,-1.0158266064418937,-1.0158266064418937,1.0158266064418937,-1.0158266064418937,2024-02-01,21,True
