piezometer_id,cluster_id,window_months,event_id,start,end,duration_months,minimum_date,minimum_sgi,severity_signed,severity_deficit,mean_intensity,recovery_date,recovery_months,recovered
II/1065/1,3,3,1,2007-04-01,2007-06-01,3,2007-04-01,-1.1281436452787637,-3.2474781350249753,3.2474781350249753,-1.0824927116749918,2008-02-01,10,True
II/1065/1,3,3,2,2017-03-01,2017-07-01,5,2017-06-01,-1.3644887481703285,-6.1580772353269015,6.1580772353269015,-1.2316154470653804,2018-05-01,11,True
II/1065/1,3,3,3,2018-09-01,2019-05-01,9,2019-02-01,-1.6283614067169068,-12.228182222830375,12.228182222830375,-1.3586869136478195,2021-12-01,34,True
II/1065/1,3,3,4,2019-08-01,2021-02-01,19,2020-08-01,-2.128045234184984,-31.34061578710711,31.34061578710711,-1.649506094058269,2021-12-01,16,True
II/1065/1,3,3,5,2021-06-01,2021-08-01,3,2021-07-01,-1.3644887481703285,-3.727851091154485,3.727851091154485,-1.2426170303848283,2021-12-01,5,True
II/1065/1,3,3,6,2022-07-01,2023-03-01,9,2022-08-01,-1.382994127100638,-10.890476352955176,10.890476352955176,-1.2100529281061307,,,False
II/1065/1,3,3,7,2023-06-01,2024-02-01,9,2023-09-01,-2.128045234184984,-16.89262689682311,16.89262689682311,-1.8769585440914567,,,False
II/1065/1,3,6,1,2017-04-01,2017-06-01,3,2017-05-01,-1.3037826721034866,-3.5367620613443607,3.5367620613443607,-1.1789206871147868,2022-02-01,57,True
II/1065/1,3,6,2,2018-11-01,2021-03-01,29,2020-09-01,-2.11438077152756,-45.54268918105811,45.54268918105811,-1.570437557967521,2022-02-01,17,True
II/1065/1,3,6,3,2021-07-01,2021-07-01,1,2021-07-01,-1.1048357439621106,-1.1048357439621106,1.1048357439621106,-1.1048357439621106,2022-02-01,7,True
II/1065/1,3,6,4,2021-09-01,2021-10-01,2,2021-09-01,-1.0144987457841006,-2.028997491568201,2.028997491568201,-1.0144987457841006,2022-02-01,5,True
II/1065/1,3,6,5,2022-08-01,2023-02-01,7,2022-11-01,-1.1918161716813946,-8.017605347017287,8.017605347017287,-1.1453721924310412,,,False
II/1065/1,3,6,6,2023-04-01,2024-03-01,12,2023-11-01,-2.128045234184984,-20.23521002260424,20.23521002260424,-1.6862675018836866,,,False
II/1065/1,3,12,1,2018-11-01,2018-11-01,1,2018-11-01,-1.1048357439621106,-1.1048357439621106,1.1048357439621106,-1.1048357439621106,,,False
II/1065/1,3,12,2,2019-04-01,2021-10-01,31,2021-03-01,-2.085355566031829,-49.46457373126692,49.46457373126692,-1.5956314106860296,,,False
II/1065/1,3,12,3,2022-12-01,2024-03-01,16,2024-03-01,-1.5932188180230507,-22.144883576952193,22.144883576952193,-1.384055223559512,,,False
II/1271/1,1,3,1,2014-01-01,2014-05-01,5,2014-02-01,-1.9599639845400545,-9.688264342154099,9.688264342154099,-1.9376528684308199,2014-06-01,4,True
II/1271/1,1,3,2,2015-07-01,2016-09-01,15,2016-06-01,-1.9145058250555573,-20.57899929178561,20.57899929178561,-1.3719332861190408,2016-11-01,5,True
II/1271/1,1,3,3,2019-05-01,2019-08-01,4,2019-08-01,-1.88950996033343,-5.709531235441489,5.709531235441489,-1.4273828088603722,,,False
II/1271/1,1,3,4,2020-02-01,2020-02-01,1,2020-02-01,-1.4395314709384563,-1.4395314709384563,1.4395314709384563,-1.4395314709384563,,,False
II/1271/1,1,3,5,2022-09-01,2022-12-01,4,2022-10-01,-1.382994127100638,-4.97261312915642,4.97261312915642,-1.243153282289105,,,False
II/1271/1,1,3,6,2023-04-01,2023-04-01,1,2023-04-01,-1.11895838106256,-1.11895838106256,1.11895838106256,-1.11895838106256,,,False
II/1271/1,1,3,7,2023-06-01,2023-06-01,1,2023-06-01,-1.0853249080767589,-1.0853249080767589,1.0853249080767589,-1.0853249080767589,,,False
II/1271/1,1,3,8,2023-10-01,2024-01-01,4,2023-11-01,-1.9379315108528288,-7.202556425667379,7.202556425667379,-1.8006391064168448,,,False
II/1271/1,1,3,9,2024-03-01,2024-03-01,1,2024-03-01,-1.11895838106256,-1.11895838106256,1.11895838106256,-1.11895838106256,,,False
II/1271/1,1,6,1,2014-01-01,2014-08-01,8,2014-02-01,-1.9379315108528288,-15.336331928392019,15.336331928392019,-1.9170414910490023,2014-09-01,7,True
II/1271/1,1,6,2,2015-09-01,2016-11-01,15,2015-12-01,-1.88950996033343,-21.32853950962568,21.32853950962568,-1.4219026339750453,2017-01-01,13,True
II/1271/1,1,6,3,2018-12-01,2018-12-01,1,2018-12-01,-1.0491313979639707,-1.0491313979639707,1.0491313979639707,-1.0491313979639707,,,False
II/1271/1,1,6,4,2019-07-01,2019-08-01,2,2019-07-01,-1.0491313979639707,-2.0982627959279414,2.0982627959279414,-1.0491313979639707,,,False
II/1271/1,1,6,5,2022-09-01,2022-12-01,4,2022-12-01,-1.351702239930661,-4.689693475733362,4.689693475733362,-1.1724233689333405,,,False
II/1271/1,1,6,6,2023-05-01,2023-06-01,2,2023-05-01,-1.0853249080767589,-2.1706498161535177,2.1706498161535177,-1.0853249080767589,,,False
II/1271/1,1,6,7,2024-01-01,2024-04-01,4,2024-02-01,-1.4121875789061642,-5.326327665975526,5.326327665975526,-1.3315819164938816,,,False
II/1271/1,1,12,1,2014-01-01,2015-02-01,14,2014-06-01,-1.88950996033343,-25.042360389490447,25.042360389490447,-1.7887400278207461,2015-03-01,9,True
II/1271/1,1,12,2,2015-09-01,2016-12-01,16,2016-06-01,-1.351702239930661,-19.307432673787112,19.307432673787112,-1.2067145421116945,2017-06-01,12,True
II/1271/1,1,12,3,2019-07-01,2019-08-01,2,2019-08-01,-1.0491313979639707,-2.0591215672135528,2.0591215672135528,-1.0295607836067764,,,False
II/1271/1,1,12,4,2023-03-01,2023-06-01,4,2023-06-01,-1.0491313979639707,-4.079101905712717,4.079101905712717,-1.0197754764281792,,,False
II/1272/1,1,3,1,2004-10-01,2005-03-01,6,2004-11-01,-1.8627318674216515,-8.178456968512506,8.178456968512506,-1.363076161418751,2005-06-01,7,True
II/1272/1,1,3,2,2006-04-01,2007-02-01,11,2006-05-01,-1.1503493803760079,-11.46889274142703,11.46889274142703,-1.0426266128570028,2007-03-01,10,True
II/1272/1,1,3,3,2015-12-01,2016-09-01,10,2015-12-01,-1.8627318674216515,-18.116289046725523,18.116289046725523,-1.8116289046725522,2016-11-01,11,True
II/1272/1,1,3,4,2019-11-01,2019-11-01,1,2019-11-01,-1.1503493803760079,-1.1503493803760079,1.1503493803760079,-1.1503493803760079,2019-12-01,1,True
II/1272/1,1,3,5,2020-03-01,2020-10-01,8,2020-09-01,-1.88950996033343,-11.519423787560552,11.519423787560552,-1.439927973445069,,,False
