group,window_months,date,available_wells,total_group_wells,group_mean_SGI
1,3,2004-09-01,3,10,
1,3,2004-10-01,3,10,
1,3,2004-11-01,3,10,
1,3,2004-12-01,3,10,
1,3,2005-01-01,3,10,
1,3,2005-02-01,3,10,
1,3,2005-03-01,3,10,
1,3,2005-04-01,3,10,
1,3,2005-05-01,3,10,
1,3,2005-06-01,3,10,
1,3,2005-07-01,3,10,
1,3,2005-08-01,3,10,
1,3,2005-09-01,5,10,0.1782779011026515
1,3,2005-10-01,5,10,0.08380510737565984
1,3,2005-11-01,5,10,-0.18177708997253053
1,3,2005-12-01,5,10,-0.2592802070706625
1,3,2006-01-01,5,10,-0.15403360728533408
1,3,2006-02-01,5,10,-0.09044558931234217
1,3,2006-03-01,5,10,-0.24921395797458512
1,3,2006-04-01,5,10,-0.18806104978622526
1,3,2006-05-01,5,10,-0.11919966092166098
1,3,2006-06-01,5,10,0.0011628482788152733
1,3,2006-07-01,5,10,-0.15660540921337388
1,3,2006-08-01,8,10,-0.36083309250199647
1,3,2006-09-01,8,10,-0.30862053042471327
1,3,2006-10-01,7,10,-0.004557200177684699
1,3,2006-11-01,7,10,-0.042891920057341264
1,3,2006-12-01,7,10,-0.11749090036347122
1,3,2007-01-01,8,10,0.0004509945895666001
1,3,2007-02-01,8,10,0.14228781275364888
1,3,2007-03-01,8,10,0.4428549924826438
1,3,2007-04-01,8,10,0.5743496672347623
1,3,2007-05-01,8,10,0.7315592338333663
1,3,2007-06-01,8,10,0.6797454942069954
1,3,2007-07-01,8,10,0.7684059255584273
1,3,2007-08-01,8,10,0.8444706755527921
1,3,2007-09-01,8,10,0.8421173123992999
1,3,2007-10-01,8,10,0.7571874942069783
1,3,2007-11-01,8,10,0.5975038944816786
1,3,2007-12-01,8,10,0.6606168179554222
1,3,2008-01-01,8,10,0.6929514978639488
1,3,2008-02-01,8,10,0.703928188611104
1,3,2008-03-01,8,10,0.7313824884672303
1,3,2008-04-01,8,10,0.7266573900305976
1,3,2008-05-01,8,10,0.6520654470080035
1,3,2008-06-01,8,10,0.4067592182058861
1,3,2008-07-01,8,10,0.23412942703500078
1,3,2008-08-01,8,10,0.045476312691507405
1,3,2008-09-01,8,10,0.14552378978087688
1,3,2008-10-01,8,10,0.20250593508928097
1,3,2008-11-01,8,10,0.24164199207275416
1,3,2008-12-01,8,10,0.09557753720294133
1,3,2009-01-01,8,10,-0.04173381390828344
1,3,2009-02-01,8,10,-0.2324514392920491
1,3,2009-03-01,8,10,-0.3986652076041446
1,3,2009-04-01,8,10,-0.3691573070304437
1,3,2009-05-01,8,10,-0.4085173188548728
1,3,2009-06-01,9,10,-0.4266369210670649
1,3,2009-07-01,9,10,-0.10878726582698775
1,3,2009-08-01,9,10,0.06568569332599128
1,3,2009-09-01,9,10,-0.10419358658288824
1,3,2009-10-01,9,10,-0.27161455224332465
1,3,2009-11-01,9,10,-0.18465928168663798
1,3,2009-12-01,9,10,-0.19415698996441494
1,3,2010-01-01,9,10,-0.09556688608814307
1,3,2010-02-01,9,10,-0.17056189783513967
1,3,2010-03-01,9,10,-0.13900930303023634
1,3,2010-04-01,9,10,0.03741001535977892
1,3,2010-05-01,9,10,0.3584526916395025
1,3,2010-06-01,9,10,0.7086837214951657
1,3,2010-07-01,9,10,0.736131333496512
1,3,2010-08-01,9,10,0.9350049744985625
1,3,2010-09-01,9,10,1.127801704928511
1,3,2010-10-01,9,10,1.1887160206976817
