piezometer_id,cluster_id,SGI3_event_id,SGI3_start,SGI3_end,propagated,SGI12_event_id,SGI12_start,SGI12_end,onset_lag_months
II/1065/1,3,1,2007-04-01,2007-06-01,0,,,,
II/1065/1,3,2,2017-03-01,2017-07-01,0,,,,
II/1065/1,3,3,2018-09-01,2019-05-01,1,1,2018-11-01,2018-11-01,2
II/1065/1,3,4,2019-08-01,2021-02-01,1,2,2019-04-01,2021-10-01,-4
II/1065/1,3,5,2021-06-01,2021-08-01,1,2,2019-04-01,2021-10-01,-26
II/1065/1,3,6,2022-07-01,2023-03-01,1,3,2022-12-01,2024-03-01,5
II/1065/1,3,7,2023-06-01,2024-02-01,1,3,2022-12-01,2024-03-01,-6
II/1271/1,1,1,2014-01-01,2014-05-01,1,1,2014-01-01,2015-02-01,0
II/1271/1,1,2,2015-07-01,2016-09-01,1,2,2015-09-01,2016-12-01,2
II/1271/1,1,3,2019-05-01,2019-08-01,1,3,2019-07-01,2019-08-01,2
II/1271/1,1,4,2020-02-01,2020-02-01,0,,,,
II/1271/1,1,5,2022-09-01,2022-12-01,1,4,2023-03-01,2023-06-01,6
II/1271/1,1,6,2023-04-01,2023-04-01,1,4,2023-03-01,2023-06-01,-1
II/1271/1,1,7,2023-06-01,2023-06-01,1,4,2023-03-01,2023-06-01,-3
II/1271/1,1,8,2023-10-01,2024-01-01,0,,,,
II/1271/1,1,9,2024-03-01,2024-03-01,0,,,,
II/1272/1,1,1,2004-10-01,2005-03-01,1,1,2005-06-01,2005-07-01,8
II/1272/1,1,2,2006-04-01,2007-02-01,1,2,2006-08-01,2007-03-01,4
II/1272/1,1,3,2015-12-01,2016-09-01,1,3,2016-04-01,2017-02-01,4
II/1272/1,1,4,2019-11-01,2019-11-01,1,4,2020-03-01,2020-10-01,4
II/1272/1,1,5,2020-03-01,2020-10-01,1,4,2020-03-01,2020-10-01,0
II/1272/2,2,1,2015-12-01,2016-07-01,1,1,2016-05-01,2016-11-01,5
II/1272/2,2,2,2019-11-01,2019-11-01,1,2,2020-04-01,2020-04-01,5
II/1272/2,2,3,2020-03-01,2020-10-01,1,2,2020-04-01,2020-04-01,1
II/1272/2,2,4,2021-12-01,2022-02-01,1,4,2021-12-01,2023-12-01,0
II/1272/2,2,5,2022-05-01,2023-04-01,1,4,2021-12-01,2023-12-01,-5
II/1272/2,2,6,2023-08-01,2023-11-01,1,4,2021-12-01,2023-12-01,-20
II/1273/1,1,1,2004-11-01,2004-12-01,0,,,,
II/1273/1,1,2,2009-02-01,2009-06-01,1,1,2009-06-01,2009-07-01,4
II/1273/1,1,3,2015-05-01,2015-05-01,1,2,2015-11-01,2016-10-01,6
II/1273/1,1,4,2015-10-01,2015-11-01,1,2,2015-11-01,2016-10-01,1
II/1273/1,1,5,2016-03-01,2016-04-01,1,2,2015-11-01,2016-10-01,-4
II/1273/1,1,6,2019-07-01,2020-10-01,1,3,2019-08-01,2019-08-01,1
II/1273/1,1,7,2022-12-01,2023-02-01,1,5,2023-09-01,2023-09-01,9
II/1273/1,1,8,2023-06-01,2023-09-01,1,5,2023-09-01,2023-09-01,3
II/1273/1,1,9,2024-01-01,2024-01-01,0,,,,
II/1274/1,1,1,2014-01-01,2014-11-01,1,1,2014-02-01,2015-07-01,1
II/1274/1,1,2,2016-02-01,2016-07-01,1,2,2016-08-01,2018-01-01,6
II/1274/1,1,3,2016-09-01,2016-12-01,1,2,2016-08-01,2018-01-01,-1
II/1274/1,1,4,2017-06-01,2017-08-01,1,2,2016-08-01,2018-01-01,-10
II/1274/1,1,5,2022-12-01,2023-01-01,0,,,,
II/1274/1,1,6,2023-03-01,2023-05-01,0,,,,
II/1274/1,1,7,2023-08-01,2024-02-01,0,,,,
II/1274/2,1,1,2015-11-01,2017-03-01,1,1,2016-04-01,2017-08-01,5
II/1274/2,1,2,2020-04-01,2020-10-01,1,2,2020-09-01,2021-03-01,5
II/1275/1,2,1,2014-01-01,2014-05-01,1,1,2014-01-01,2015-02-01,0
II/1275/1,2,2,2014-12-01,2014-12-01,1,1,2014-01-01,2015-02-01,-11
II/1275/1,2,3,2015-07-01,2015-08-01,1,2,2016-03-01,2016-09-01,8
II/1275/1,2,4,2015-11-01,2016-06-01,1,2,2016-03-01,2016-09-01,4
II/1275/1,2,5,2018-01-01,2018-04-01,1,3,2018-02-01,2019-01-01,1
II/1275/1,2,6,2019-06-01,2019-11-01,1,4,2019-10-01,2019-12-01,4
II/1275/1,2,7,2020-05-01,2020-06-01,0,,,,
II/1275/1,2,8,2022-07-01,2022-12-01,0,,,,
II/1275/1,2,9,2023-09-01,2023-10-01,0,,,,
II/1276/1,1,1,2014-01-01,2014-11-01,1,1,2014-01-01,2015-08-01,0
II/1276/1,1,2,2021-12-01,2021-12-01,1,2,2022-09-01,2022-12-01,9
II/1276/1,1,3,2022-04-01,2024-03-01,1,2,2022-09-01,2022-12-01,5
II/1285/1,1,1,2022-05-01,2024-04-01,1,1,2023-02-01,2024-04-01,9
II/521/1,2,1,1989-09-01,1989-12-01,1,1,1990-05-01,1990-06-01,8
II/521/1,2,2,1990-04-01,1990-05-01,1,1,1990-05-01,1990-06-01,1
II/521/1,2,3,1991-04-01,1991-06-01,0,,,,
II/521/1,2,4,1992-01-01,1992-05-01,1,2,1992-07-01,1993-10-01,6
II/521/1,2,5,1992-07-01,1992-11-01,1,2,1992-07-01,1993-10-01,0
II/521/1,2,6,1993-01-01,1993-06-01,1,2,1992-07-01,1993-10-01,-6
