piezometer_id,cluster_id,aquifer_group,x_coord_2180,y_coord_2180,exposure,vul_norm,crs_inv_norm,max_dur_norm,pressure,qdens_norm,mining_norm,sensitivity,quality_norm,gde_norm,dipi
II/1271/1,1,Shallow unconfined aquifer,441727.379465,523964.37798,0.14079,0.202334,0.103532,0.109647,0.097967,0.335601,0.0,0.342504,0.297427,0.388889,0.188457
II/1272/1,1,Shallow unconfined aquifer,406124.320712,559613.68159,0.221605,0.116019,0.382113,0.148469,0.108374,0.401673,0.0,0.148704,0.335471,0.0,0.165765
II/1273/1,1,Shallow unconfined aquifer,457116.257396,519137.508988,0.113071,0.342791,0.12086,0.184122,0.0838202,0.448986,0.0,0.379346,0.113432,0.0,0.184178
II/1274/1,1,Shallow unconfined aquifer,437254.525319,574337.265338,0.233976,0.384278,0.941378,0.504456,0.149577,0.407214,0.0,0.117012,0.161228,0.0,0.173567
II/1274/2,1,Shallow unconfined aquifer,437254.525319,574337.265338,0.233976,0.178386,0.444637,0.157965,0.149577,0.430246,0.0,0.117012,0.196089,0.0,0.173567
II/1276/1,1,Shallow unconfined aquifer,426138.534945,566934.733599,0.224013,0.116019,0.382113,0.148469,0.122003,0.401673,0.0,0.0685757,0.335471,0.0,0.146779
II/1285/1,1,Shallow unconfined aquifer,430634.357466,547647.787304,0.615742,0.718727,0.634358,0.949935,0.112257,0.408568,0.2,0.0794053,0.126663,0.0,0.303796
II/906/1,1,Shallow unconfined aquifer,404107.060393,583888.84398,0.0950828,0.563145,0.416863,0.535223,0.233661,2.10159,0.0,0.465894,0.591087,0.0,0.2479
II/908/1,1,Shallow unconfined aquifer,412611.881532,584622.319745,0.189639,0.201693,0.076753,0.0595265,0.15064,0.283723,0.0,0.261787,0.274482,0.5,0.179595
II/908/2,1,Shallow unconfined aquifer,412611.881532,584622.319745,0.189639,0.181203,0.356451,0.172103,0.15064,0.507785,0.0,0.261787,0.246428,0.0,0.179595
II/521/1,2,Intermediate confined aquifer,438931.241877,567321.019865,0.262336,0.181203,0.356451,0.172103,0.121384,0.507785,0.0,0.0974032,0.246428,0.0,0.170571
II/527/1,2,Intermediate confined aquifer,415848.578062,571151.14399,0.650674,0.0749923,0.0975328,0.107205,0.294454,0.851429,0.0,0.244255,0.308346,0.777778,0.421882
II/1272/2,2,Intermediate confined aquifer,406406.453948,559611.297028,0.221605,0.120834,0.290283,0.15481,0.108374,0.536893,0.0,0.148704,0.0773487,0.0555556,0.165765
II/1275/1,2,Intermediate confined aquifer,425263.94912,578231.850695,0.136493,0.120834,0.290283,0.15481,0.158252,0.536893,0.0,0.180245,0.0773487,0.0555556,0.156146
II/797/1,3,Deep confined aquifer,429354.580549,551206.872137,0.756358,0.972577,0.535968,0.476141,0.227884,1.07682,0.0,0.0689804,0.534971,0.0,0.391603
II/1065/1,3,Deep confined aquifer,453545.573339,543466.324751,0.50309,0.215158,0.108535,0.0695052,0.633108,0.577794,0.0,0.253302,0.174747,0.0555556,0.465204
