aquifer_group_id,aquifer_group,precipitation_station,sgi_scale,spi_scale,window_start,window_end,midpoint_year,lag_of_maximum_correlation_months,maximum_correlation_r,valid_pairs_at_maximum,maximum_correlation_below_0_20,full_period_lag_of_maximum_correlation_months
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2005-01-01,2014-12-01,2010,9,0.2994261539406008,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2006-01-01,2015-12-01,2011,8,0.31278345499245613,112,False,9
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2007-01-01,2016-12-01,2012,9,0.4328157663144579,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2008-01-01,2017-12-01,2013,11,0.3725459826764652,109,False,9
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2009-01-01,2018-12-01,2014,6,0.402815714928642,114,False,9
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2010-01-01,2019-12-01,2015,5,0.39875489765448063,115,False,9
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2011-01-01,2020-12-01,2016,6,0.2583408379662835,114,False,9
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2012-01-01,2021-12-01,2017,5,0.4061067175414322,115,False,9
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2013-01-01,2022-12-01,2018,5,0.4303732010561572,115,False,9
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2014-01-01,2023-12-01,2019,10,0.3510183158912411,110,False,9
1,Shallow unconfined aquifer,Pakość,SGI-3,SPI-3,2015-01-01,2024-12-01,2020,5,0.37370142969260345,107,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2005-01-01,2014-12-01,2010,6,0.41375873328587764,108,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2006-01-01,2015-12-01,2011,6,0.44696831209476295,113,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2007-01-01,2016-12-01,2012,9,0.5734818963597229,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2008-01-01,2017-12-01,2013,9,0.5340274446163351,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2009-01-01,2018-12-01,2014,6,0.5388818142606022,114,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2010-01-01,2019-12-01,2015,6,0.552524355330816,114,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2011-01-01,2020-12-01,2016,6,0.44577211299619945,114,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2012-01-01,2021-12-01,2017,5,0.4796447253058962,115,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2013-01-01,2022-12-01,2018,6,0.5565685957797541,114,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2014-01-01,2023-12-01,2019,9,0.5519214021980874,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-6,SPI-6,2015-01-01,2024-12-01,2020,7,0.5462691751055069,105,False,9
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,2006-01-01,2015-12-01,2011,7,0.4939982149115577,106,False,9
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,2007-01-01,2016-12-01,2012,8,0.6402926778863387,112,False,9
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,2008-01-01,2017-12-01,2013,9,0.6209762933623421,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,2009-01-01,2018-12-01,2014,9,0.6493187272466289,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,2010-01-01,2019-12-01,2015,9,0.6654216617957205,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,2011-01-01,2020-12-01,2016,9,0.6346336392603804,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,2012-01-01,2021-12-01,2017,9,0.5856700727610331,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,2013-01-01,2022-12-01,2018,9,0.7307212165871256,111,False,9
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,2014-01-01,2023-12-01,2019,10,0.7401077309216902,110,False,9
1,Shallow unconfined aquifer,Pakość,SGI-12,SPI-12,2015-01-01,2024-12-01,2020,10,0.7694270973815263,102,False,9
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2000-01-01,2009-12-01,2005,1,0.5701235702006747,102,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2001-01-01,2010-12-01,2006,1,0.595758414532395,114,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2002-01-01,2011-12-01,2007,1,0.5041239595785638,119,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2003-01-01,2012-12-01,2008,5,0.42917508341067345,115,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2004-01-01,2013-12-01,2009,5,0.3681223329807857,115,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2005-01-01,2014-12-01,2010,2,0.3754089911689334,118,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2006-01-01,2015-12-01,2011,2,0.4018859056273916,118,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2007-01-01,2016-12-01,2012,8,0.4375917616859535,112,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2008-01-01,2017-12-01,2013,3,0.41640734465732,117,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2009-01-01,2018-12-01,2014,3,0.4106556680564612,117,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2010-01-01,2019-12-01,2015,3,0.4861484744620396,117,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2011-01-01,2020-12-01,2016,3,0.3791132334750544,117,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2012-01-01,2021-12-01,2017,2,0.5242379601232338,118,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2013-01-01,2022-12-01,2018,3,0.551457444694622,117,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2014-01-01,2023-12-01,2019,3,0.5582462245760638,117,False,2
2,Intermediate confined aquifer,Zalesie,SGI-3,SPI-3,2015-01-01,2024-12-01,2020,3,0.6247930794180188,109,False,2
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2000-01-01,2009-12-01,2005,1,0.6634422864385301,96,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2001-01-01,2010-12-01,2006,2,0.6778638251749497,107,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2002-01-01,2011-12-01,2007,5,0.6469357277015609,115,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2003-01-01,2012-12-01,2008,5,0.5590632160376378,115,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2004-01-01,2013-12-01,2009,5,0.4913023253765976,115,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2005-01-01,2014-12-01,2010,5,0.49957109494598617,115,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2006-01-01,2015-12-01,2011,6,0.5550616253910129,114,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2007-01-01,2016-12-01,2012,7,0.6280200486568427,113,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2008-01-01,2017-12-01,2013,6,0.535143253167268,114,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2009-01-01,2018-12-01,2014,5,0.5144532219784432,115,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2010-01-01,2019-12-01,2015,5,0.5734885813542611,115,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2011-01-01,2020-12-01,2016,9,0.5714881548841558,111,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2012-01-01,2021-12-01,2017,5,0.6103554683720054,115,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2013-01-01,2022-12-01,2018,5,0.6457592939940011,115,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2014-01-01,2023-12-01,2019,5,0.6921505341758762,115,False,5
2,Intermediate confined aquifer,Zalesie,SGI-6,SPI-6,2015-01-01,2024-12-01,2020,4,0.7205406184488349,108,False,5
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,2001-01-01,2010-12-01,2006,3,0.7292806920643918,100,False,6
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,2002-01-01,2011-12-01,2007,4,0.7697443692818532,112,False,6
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,2003-01-01,2012-12-01,2008,4,0.654927489896552,115,False,6
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,2004-01-01,2013-12-01,2009,6,0.6091737283116114,113,False,6
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,2005-01-01,2014-12-01,2010,6,0.574790447078421,113,False,6
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,2006-01-01,2015-12-01,2011,6,0.6436303714755331,114,False,6
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,2007-01-01,2016-12-01,2012,7,0.7823829896902644,113,False,6
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,2008-01-01,2017-12-01,2013,8,0.6869035837366939,112,False,6
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,2009-01-01,2018-12-01,2014,8,0.6148974277264828,112,False,6
2,Intermediate confined aquifer,Zalesie,SGI-12,SPI-12,2010-01-01,2019-12-01,2015,7,0.6417441641180964,113,False,6
