feature_name,feature_code,gde_class,x_coord_2180,y_coord_2180
Dolina Prodkowej Noteci i Kana,PLB300001,2,401633.3038,586228.8409
Dolina Prodkowej Noteci i Kana,PLB300001,2,401667.6998,586210.3201
Dolina Prodkowej Noteci i Kana,PLB300001,2,401707.3874,586215.6116
Dolina Prodkowej Noteci i Kana,PLB300001,2,401728.5541,586226.1951
Dolina Prodkowej Noteci i Kana,PLB300001,2,401765.5957,586236.7783
Dolina Prodkowej Noteci i Kana,PLB300001,2,401802.6376,586236.7783
Dolina Prodkowej Noteci i Kana,PLB300001,2,401831.7417,586088.6114
Dolina Prodkowej Noteci i Kana,PLB300001,2,401852.104,585996.9812
Dolina Prodkowej Noteci i Kana,PLB300001,2,401852.9085,585993.3611
Dolina Prodkowej Noteci i Kana,PLB300001,2,401922.1157,585995.668
Dolina Prodkowej Noteci i Kana,PLB300001,2,401932.2837,585996.007
Dolina Prodkowej Noteci i Kana,PLB300001,2,402043.4089,586014.5281
Dolina Prodkowej Noteci i Kana,PLB300001,2,402122.784,586022.4655
Dolina Prodkowej Noteci i Kana,PLB300001,2,402183.6382,586025.1114
Dolina Prodkowej Noteci i Kana,PLB300001,2,402300.0552,586030.403
Dolina Prodkowej Noteci i Kana,PLB300001,2,402376.7846,586033.0489
Dolina Prodkowej Noteci i Kana,PLB300001,2,402442.9306,586033.0489
Dolina Prodkowej Noteci i Kana,PLB300001,2,402538.1847,586034.5299
Dolina Prodkowej Noteci i Kana,PLB300001,2,402855.6149,586039.4658
Dolina Prodkowej Noteci i Kana,PLB300001,2,403020.6481,585966.8515
Dolina Prodkowej Noteci i Kana,PLB300001,2,403383.7229,585960.2498
Dolina Prodkowej Noteci i Kana,PLB300001,2,403909.5188,586079.933
Dolina Prodkowej Noteci i Kana,PLB300001,2,403994.1857,586093.1622
Dolina Prodkowej Noteci i Kana,PLB300001,2,404068.2692,586101.0997
Dolina Prodkowej Noteci i Kana,PLB300001,2,404121.1859,586106.3914
Dolina Prodkowej Noteci i Kana,PLB300001,2,404145.5002,586107.3641
Dolina Prodkowej Noteci i Kana,PLB300001,2,404187.3319,586109.0374
Dolina Prodkowej Noteci i Kana,PLB300001,2,404229.6653,586087.8706
Dolina Prodkowej Noteci i Kana,PLB300001,2,404271.9987,586077.2872
Dolina Prodkowej Noteci i Kana,PLB300001,2,404330.2073,586095.8082
Dolina Prodkowej Noteci i Kana,PLB300001,2,404393.7074,586122.2665
Dolina Prodkowej Noteci i Kana,PLB300001,2,404494.2492,586148.7249
Dolina Prodkowej Noteci i Kana,PLB300001,2,404589.4995,586154.0166
Dolina Prodkowej Noteci i Kana,PLB300001,2,404700.6247,586167.2457
Dolina Prodkowej Noteci i Kana,PLB300001,2,404787.9374,586175.1833
Dolina Prodkowej Noteci i Kana,PLB300001,2,404838.2081,586172.5374
Dolina Prodkowej Noteci i Kana,PLB300001,2,404869.9583,586116.9749
Dolina Prodkowej Noteci i Kana,PLB300001,2,404941.396,586138.1416
Dolina Prodkowej Noteci i Kana,PLB300001,2,405004.8961,586154.0166
Dolina Prodkowej Noteci i Kana,PLB300001,2,405063.1045,586148.7249
Dolina Prodkowej Noteci i Kana,PLB300001,2,405078.9796,586196.35
Dolina Prodkowej Noteci i Kana,PLB300001,2,405123.9587,586172.5374
Dolina Prodkowej Noteci i Kana,PLB300001,2,405182.1673,586167.2457
Dolina Prodkowej Noteci i Kana,PLB300001,2,405176.8755,586127.5582
Dolina Prodkowej Noteci i Kana,PLB300001,2,405250.9591,586103.7456
Dolina Prodkowej Noteci i Kana,PLB300001,2,405332.98,586109.0374
Dolina Prodkowej Noteci i Kana,PLB300001,2,405385.8969,586116.9749
Dolina Prodkowej Noteci i Kana,PLB300001,2,405438.8136,586130.2041
Dolina Prodkowej Noteci i Kana,PLB300001,2,405439.547,586102.6948
Dolina Prodkowej Noteci i Kana,PLB300001,2,405439.6157,586100.1154
Dolina Prodkowej Noteci i Kana,PLB300001,2,405444.4198,585919.9954
Dolina Prodkowej Noteci i Kana,PLB300001,2,405449.397,585733.3283
Dolina Prodkowej Noteci i Kana,PLB300001,2,405441.4603,585656.5988
Dolina Prodkowej Noteci i Kana,PLB300001,2,405433.5224,585574.5784
Dolina Prodkowej Noteci i Kana,PLB300001,2,405417.6468,585487.2646
Dolina Prodkowej Noteci i Kana,PLB300001,2,405409.7091,585402.5976
Dolina Prodkowej Noteci i Kana,PLB300001,2,405400.0946,585315.7294
Dolina Prodkowej Noteci i Kana,PLB300001,2,405370.2872,585046.4156
Dolina Prodkowej Noteci i Kana,PLB300001,2,405349.1197,584879.7284
Dolina Prodkowej Noteci i Kana,PLB300001,2,405237.9945,584263.2475
Dolina Prodkowej Noteci i Kana,PLB300001,2,404850.8525,584170.9486
Dolina Prodkowej Noteci i Kana,PLB300001,2,404838.4728,584167.9971
Dolina Prodkowej Noteci i Kana,PLB300001,2,404783.5979,584151.7379
Dolina Prodkowej Noteci i Kana,PLB300001,2,404767.0351,584146.8305
Dolina Prodkowej Noteci i Kana,PLB300001,2,404698.2433,584112.4345
Dolina Prodkowej Noteci i Kana,PLB300001,2,404600.3474,584064.8096
