gwb_code,x_coord_2180,y_coord_2180
PLGW600043,422624.72,587958.65
PLGW600043,422630.54,587876.37
PLGW600043,422641.12,587814.19
PLGW600043,422645.49,587769.98
PLGW600043,422658.12,587679.17
PLGW600043,422671.88,587638.96
PLGW600043,422703.58,587608.59
PLGW600043,422762.89,587591.33
PLGW600043,422829.57,587576.52
PLGW600043,422901.54,587570.17
PLGW600043,422929.05,587552.17
PLGW600043,422960.78,587530.57
PLGW600043,422964.97,587502.25
PLGW600043,422958.19,587466.26
PLGW600043,422932.48,587433.5
PLGW600043,422909.41,587374.6137
PLGW600043,423114.3976,587394.7621
PLGW600043,423347.4623,587419.7641
PLGW600043,423525.3554,587440.0037
PLGW600043,423765.8507,587465.9032
PLGW600043,423766.1267,587465.9329
PLGW600043,423811.6532,587464.9578
PLGW600043,423819.3271,587463.2928
PLGW600043,423819.3401,587463.29
PLGW600043,423849.7802,587458.11
PLGW600043,423909.4893,587465.1108
PLGW600043,423972.8418,587472.5388
PLGW600043,424072.8101,587484.26
PLGW600043,424347.3301,587515.1
PLGW600043,424443.3201,587526.74
PLGW600043,424504.7001,587533.62
PLGW600043,424572.4401,587538.65
PLGW600043,424638.8601,587534.58
PLGW600043,424782.565,587517.9982
PLGW600043,424869.0401,587508.0199
PLGW600043,424936.6201,587499.25
PLGW600043,424979.6201,587486.02
PLGW600043,424997.3924,587479.0714
PLGW600043,425066.5302,587452.04
PLGW600043,425163.4901,587420.17
PLGW600043,425176.8513,587416.0036
PLGW600043,425173.3959,587406.7624
PLGW600043,425171.3369,587401.2557
PLGW600043,425169.6196,587396.676
PLGW600043,425166.9812,587389.6066
PLGW600043,425172.2729,587368.4399
PLGW600043,425187.6188,587337.7482
PLGW600043,425199.2605,587313.9356
PLGW600043,425223.6022,587266.8397
PLGW600043,425226.7772,587238.7938
PLGW600043,425226.8193,587216.2049
PLGW600043,425214.6901,587180.46
PLGW600043,425118.7401,586915.19
PLGW600043,425115.3314,586906.1335
PLGW600043,425061.1901,586762.39
PLGW600043,425034.7401,586663.83
PLGW600043,425026.3801,586600.02
PLGW600043,425026.379,586599.9921
PLGW600043,425023.7602,586531.0112
PLGW600043,425023.0399,586512.21
PLGW600043,425023.0302,586413.0509
PLGW600043,425023.0302,586412.72
PLGW600043,425024.8601,586320.62
PLGW600043,425024.8644,586320.5245
PLGW600043,425027.7049,586257.686
PLGW600043,425027.7201,586257.35
PLGW600043,425030.6901,586203.32
PLGW600043,425030.9401,586184.32
PLGW600043,425017.7501,586169.22
PLGW600043,425006.6401,586159.69
PLGW600043,424969.1201,586152.13
PLGW600043,424918.3201,586158.48
PLGW600043,424850.5901,586160.59
PLGW600043,424761.4856,586176.5033
PLGW600043,424704.6701,586186.65
PLGW600043,424636.5401,586184.67
PLGW600043,424566.4201,586182.69
PLGW600043,424517.4701,586171.44
PLGW600043,424473.1601,586150.94
PLGW600043,424436.7802,586123.15
PLGW600043,424414.2901,586095.37
PLGW600043,424402.38,586072.22
PLGW600043,424415.0144,586055.7316
PLGW600043,424435.4901,586029.01
PLGW600043,424452.9001,585979.27
PLGW600043,424476.7101,585829.78
PLGW600043,424476.2225,585814.8301
PLGW600043,424472.7401,585708.07
PLGW600043,424468.7701,585673.67
PLGW600043,424446.6569,585566.8524
PLGW600043,424409.8677,585498.1328
PLGW600043,424383.0979,585468.0169
PLGW600043,424370.9959,585454.4022
PLGW600043,424332.1243,585430.8014
PLGW600043,424286.3113,585418.307
PLGW600043,424250.2161,585416.9188
PLGW600043,424213.4269,585428.025
PLGW600043,424159.4013,585436.6634
PLGW600043,424133.2802,585440.84
PLGW600043,424064.2201,585441.63
PLGW600043,424005.4901,585428.93
PLGW600043,423986.4401,585405.12
PLGW600043,423961.8301,585381.31
PLGW600043,423949.0501,585363.44
PLGW600043,423953.8101,585301.53
PLGW600043,423980.8001,585239.62
PLGW600043,424020.4901,585176.12
PLGW600043,424040.5201,585142.04
PLGW600043,424043.2704,585077.6293
PLGW600043,424048.2697,585011.611
PLGW600043,424048.5401,585008.04
PLGW600043,424037.9501,584912.79
PLGW600043,424030.0101,584847.97
PLGW600043,423998.2601,584760.65
PLGW600043,423977.1001,584697.15
PLGW600043,423940.0601,584665.4
PLGW600043,423875.2301,584632.33
PLGW600043,423827.4933,584577.8185
PLGW600043,423797.2935,584533.555
PLGW600043,423779.0744,584505.5871
PLGW600043,423754.4681,584485.7433
PLGW600043,423745.8161,584481.5134
PLGW600043,423718.7493,584468.2808
PLGW600043,423706.56,584439.0519
PLGW600043,423706.0493,584373.0306
PLGW600043,423730.9243,584319.025
PLGW600043,423732.7753,584281.0788
PLGW600043,423748.5091,584254.2388
PLGW600043,423804.0401,584236.654
PLGW600043,423888.2621,584218.1436
PLGW600043,423942.1001,584208.92
PLGW600043,424007.2561,584191.418
PLGW600043,424029.8661,584173.719
PLGW600043,424038.2933,584144.8452
PLGW600043,424058.5509,584113.7358
PLGW600043,424076.5399,584101.4606
PLGW600043,424386.6593,584008.4024
PLGW600043,424416.7601,583999.37
PLGW600043,424507.6101,583954.4699
PLGW600043,424568.5165,583951.595
PLGW600043,424629.6007,583957.1482
PLGW600043,424686.0219,583964.7296
PLGW600043,424726.7412,583964.7832
PLGW600043,424755.4849,583964.821
PLGW600043,424821.5601,583961.37
PLGW600043,424868.5201,583948.81
PLGW600043,425069.2121,583883.0782
PLGW600043,425168.6265,583857.2177
PLGW600043,425274.4501,583829.69
PLGW600043,425326.784,583803.523
PLGW600043,425380.2901,583776.77
PLGW600043,425423.0365,583746.4488
PLGW600043,425489.7601,583699.12
PLGW600043,425521.5101,583646.2
PLGW600043,425519.3901,583570.0
PLGW600043,425451.6601,583457.82
PLGW600043,425405.0901,583356.22
PLGW600043,425376.7901,583292.69
PLGW600043,425362.7601,583153.01
PLGW600043,425377.5801,583072.58
PLGW600043,425396.7744,583029.2821
PLGW600043,425465.5501,582874.14
PLGW600043,425573.5001,582683.64
PLGW600043,425948.8401,581990.96
PLGW600043,426096.4801,581717.91
PLGW600043,426132.9901,581668.7
PLGW600043,426170.8305,581657.4401
PLGW600043,426263.8001,581687.13
PLGW600043,426438.1901,581705.08
PLGW600043,426695.2302,581708.4603
PLGW600043,426814.7702,581698.4602
PLGW600043,426917.7301,581686.44
PLGW600043,427028.6301,581655.57
PLGW600043,427135.4101,581612.75
PLGW600043,427135.4805,581612.7261
PLGW600043,427212.0302,581586.7
PLGW600043,427327.5799,581562.7495
PLGW600043,427327.5989,581562.746
PLGW600043,427432.9998,581540.5185
PLGW600043,427510.0757,581536.8012
PLGW600043,427642.5552,581512.1592
PLGW600043,427679.1672,581469.2348
PLGW600043,427710.3427,581424.2093
PLGW600043,427725.4988,581380.0371
PLGW600043,427729.6663,581335.2363
PLGW600043,427733.8367,581297.8462
PLGW600043,427779.9512,581271.6882
PLGW600043,427797.4137,581239.9381
PLGW600043,427849.8013,581197.0756
PLGW600043,427918.064,581168.5005
PLGW600043,428117.2261,581105.6531
PLGW600043,428178.3376,581079.5646
PLGW600043,428232.4488,581062.3509
PLGW600043,428277.6828,581029.0603
PLGW600043,428333.8433,581021.2285
PLGW600043,428390.1914,581028.3062
PLGW600043,428442.26,581039.877
PLGW600043,428489.8851,581039.877
PLGW600043,428551.3799,581033.2693
PLGW600043,428590.4302,581015.4745
PLGW600043,428638.7515,580991.0446
PLGW600043,428667.3655,580970.0626
PLGW600043,428708.6406,580968.4751
PLGW600043,428745.1531,580985.9376
PLGW600043,428767.3782,580995.4627
PLGW600043,428800.7157,581012.9252
PLGW600043,428854.6908,581004.9877
PLGW600043,428865.4274,581000.091
PLGW600043,428889.1101,580989.29
PLGW600043,428889.1327,580989.2826
PLGW600043,428971.6001,580962.14
PLGW600043,429065.2601,580931.98
PLGW600043,429135.1101,580930.39
PLGW600043,429263.7258,580950.5146
PLGW600043,429263.7601,580950.52
PLGW600043,429424.0302,580978.01
PLGW600043,429662.6901,581013.2
PLGW600043,429773.5901,581024.45
PLGW600043,429820.5601,581038.34
PLGW600043,429955.5001,581062.15
PLGW600043,430002.4601,581076.7
PLGW600043,430085.5102,581096.7797
PLGW600043,430149.1601,581114.18
PLGW600043,430192.4269,581118.3883
PLGW600043,430238.9936,581101.455
PLGW600043,430278.1156,581072.3052
PLGW600043,430292.9687,581061.2382
PLGW600043,430333.1855,581010.4381
PLGW600043,430354.3522,580980.8047
PLGW600043,430374.1635,580962.6915
PLGW600043,430391.3939,580946.938
PLGW600043,430433.8454,580849.2008
PLGW600043,430436.9023,580842.1628
PLGW600043,430438.5574,580839.6211
PLGW600043,430466.5357,580796.6543
PLGW600043,430470.3793,580779.2299
PLGW600043,430482.4108,580724.6875
PLGW600043,430485.5858,580644.254
PLGW600043,430450.6607,580605.0956
PLGW600043,430403.0356,580579.6956
PLGW600043,430380.8106,580546.8872
PLGW600043,430361.7605,580486.5621
PLGW600043,430323.6604,580426.2369
PLGW600043,430305.6687,580401.8952
PLGW600043,430284.502,580383.9035
PLGW600043,430289.7937,580340.5118
PLGW600043,430279.2104,580305.5867
PLGW600043,430276.7845,580282.5408
PLGW600043,430274.977,580265.3699
PLGW600043,430292.7041,580231.0843
PLGW600043,430319.6917,580200.9217
PLGW600043,430348.2667,580181.0779
PLGW600043,430387.1606,580185.0467
PLGW600043,430421.2919,580182.6654
PLGW600043,430440.3419,580163.6154
PLGW600043,430466.5357,580127.1028
PLGW600043,430471.2982,580096.1465
PLGW600043,430476.8545,580067.5715
PLGW600043,430492.7295,580052.4902
PLGW600043,430497.0292,580031.7081
PLGW600043,430497.492,580029.4714
PLGW600043,430496.0889,580027.2499
