cluster_id,aquifer_group,piezometer_id,x_coord_2180,y_coord_2180
1,shallow_unconfined,II/906/1,404107.060393,583888.84398
1,shallow_unconfined,II/908/1,412611.881532,584622.319745
1,shallow_unconfined,II/908/2,412611.881532,584622.319745
1,shallow_unconfined,II/1271/1,441727.379465,523964.37798
1,shallow_unconfined,II/1272/1,406124.320712,559613.68159
1,shallow_unconfined,II/1273/1,457116.257396,519137.508988
1,shallow_unconfined,II/1274/1,437254.525319,574337.265338
1,shallow_unconfined,II/1274/2,437254.525319,574337.265338
1,shallow_unconfined,II/1276/1,426138.534945,566934.733599
1,shallow_unconfined,II/1285/1,430634.357466,547647.787304
2,intermediate_confined,II/1275/1,425263.94912,578231.850695
2,intermediate_confined,II/521/1,438931.241877,567321.019865
2,intermediate_confined,II/527/1,415848.578062,571151.14399
2,intermediate_confined,II/1272/2,406406.453948,559611.297028
3,deep_confined,II/797/1,429354.580549,551206.872137
3,deep_confined,II/1065/1,453545.573339,543466.324751
