river_name,x_coord_2180,y_coord_2180
Gąsawka,415249.2808,571918.548
Gąsawka,415270.7358,571920.2522
Gąsawka,415428.8888,571935.1133
Gąsawka,415455.8302,571936.8394
Gąsawka,415476.7663,571936.9913
Gąsawka,415535.489,571931.1287
Gąsawka,415546.9227,571927.7957
Gąsawka,415574.8453,571916.7267
Gąsawka,415601.43,571907.7086
Gąsawka,415620.1043,571904.6869
Gąsawka,415638.2224,571903.978
Gąsawka,415655.0072,571905.8777
Gąsawka,415676.3728,571910.794
Gąsawka,415722.4591,571924.5832
Gąsawka,415759.5067,571936.841
Gąsawka,415801.3023,571950.5348
Gąsawka,415830.1205,571958.3649
Gąsawka,415922.3922,571967.549
Biała Struga,411350.7695,570618.8769
Biała Struga,411391.7182,570621.9128
Biała Struga,411394.0341,570622.0845
Biała Struga,411455.8977,570633.7867
Biała Struga,411647.3511,570674.9998
Biała Struga,411703.3732,570684.9421
Biała Struga,411756.2931,570686.7577
Biała Struga,411780.1823,570684.4708
Biała Struga,411815.6391,570678.383
Biała Struga,411845.6208,570676.5133
Biała Struga,411861.4559,570677.9591
Biała Struga,411899.6894,570685.7911
Biała Struga,411919.9869,570688.2809
Biała Struga,411920.5004,570688.3439
Biała Struga,411949.4522,570689.715
Biała Struga,412000.4084,570689.3015
Biała Struga,412019.4083,570691.2559
Biała Struga,412032.2501,570696.4937
Biała Struga,412044.9249,570704.7536
Biała Struga,412114.7914,570771.869
Biała Struga,412135.6318,570787.4135
Biała Struga,412160.4902,570802.2649
Biała Struga,412246.0052,570847.8735
Biała Struga,412328.7226,570887.9289
Biała Struga,412388.5197,570913.2511
Biała Struga,412448.5466,570935.263
Biała Struga,412474.7383,570941.7343
Biała Struga,412510.3725,570946.5782
Biała Struga,412628.0611,570953.6031
Biała Struga,412789.7063,570961.5316
Biała Struga,412845.4856,570966.8891
Biała Struga,412878.9478,570976.3755
Biała Struga,412956.2609,571010.7967
Biała Struga,413117.9997,571082.2523
Biała Struga,413238.5996,571140.3569
Biała Struga,413293.9363,571165.8699
Biała Struga,413410.242,571216.5683
Biała Struga,413506.0665,571254.1236
Biała Struga,413611.1406,571295.3038
Biała Struga,413690.1299,571329.0691
Biała Struga,413870.2779,571408.326
Biała Struga,414134.9328,571523.7193
Biała Struga,414203.9877,571550.042
Biała Struga,414331.8812,571595.9309
Biała Struga,414451.5242,571641.0412
Biała Struga,414796.3857,571776.8035
Biała Struga,414953.1816,571836.6931
Biała Struga,414977.8875,571844.6508
Biała Struga,415012.034,571852.2096
Biała Struga,415039.0121,571859.6444
Biała Struga,415101.8119,571885.5103
Biała Struga,415173.3784,571910.9628
Biała Struga,415189.0504,571913.7637
Biała Struga,415249.2808,571918.548
Górny Kanał Noteci,430137.1482,570542.198
Górny Kanał Noteci,430105.7195,570560.8178
Górny Kanał Noteci,430087.4549,570572.8949
Górny Kanał Noteci,430075.414,570583.3732
Górny Kanał Noteci,430055.8523,570603.4806
Górny Kanał Noteci,430024.2464,570639.8721
Górny Kanał Noteci,430020.5372,570646.7774
Górny Kanał Noteci,430017.7245,570658.2501
Górny Kanał Noteci,430009.5454,570719.8759
Górny Kanał Noteci,430006.2897,570751.7044
Górny Kanał Noteci,430004.6071,570761.5185
Górny Kanał Noteci,430001.486,570773.1109
Górny Kanał Noteci,429993.6247,570793.6338
Górny Kanał Noteci,429931.6937,570921.6857
Górny Kanał Noteci,429898.1421,570988.3408
Górny Kanał Noteci,429862.4143,571051.8861
Górny Kanał Noteci,429813.3102,571149.8243
Górny Kanał Noteci,429813.2602,571149.9449
Górny Kanał Noteci,429784.4772,571216.7441
Górny Kanał Noteci,429778.0385,571234.8634
Górny Kanał Noteci,429774.4194,571242.8442
Kanał Poprzeczny,407821.1292,566798.495
Kanał Poprzeczny,407850.1492,566806.3908
Kanał Poprzeczny,408025.4272,566871.0261
Kanał Poprzeczny,408064.9684,566881.9183
Kanał Poprzeczny,408159.2058,566893.1933
Kanał Poprzeczny,408254.0017,566896.779
Kanał Poprzeczny,408480.8243,566893.0556
Kanał Poprzeczny,408527.6839,566890.7764
Kanał Poprzeczny,408562.2023,566885.0461
Kanał Poprzeczny,408598.594,566896.7035
Kanał Poprzeczny,408608.904,566902.7454
Kanał Poprzeczny,408619.6768,566911.8755
Kanał Poprzeczny,408639.9022,566934.1345
Kanał Poprzeczny,408654.5428,566954.2978
Kanał Poprzeczny,408661.5356,566969.9116
Kanał Poprzeczny,408664.8952,566986.4969
Kanał Poprzeczny,408662.4767,567013.467
Kanał Poprzeczny,408646.8457,567083.6803
Kanał Poprzeczny,408647.0371,567101.6853
Kanał Poprzeczny,408649.9561,567113.392
Kanał Poprzeczny,408658.8612,567126.6068
Kanał Poprzeczny,408668.9887,567137.7794
Kanał Poprzeczny,408788.7937,567243.5941
Kanał Poprzeczny,408813.5512,567268.3546
